Speaker,X,Z
F01,-67.4205532850666,-8.143552809686632
F01,-66.53461664718066,-7.088855749552291
F01,-65.65931461772257,-6.025343874280649
F01,-64.80957602673148,-4.941365131182941
F01,-63.99377540656785,-3.831600430985192
F01,-63.19707253603533,-2.7079803356806
F01,-62.38847478877938,-1.5929387598565126
F01,-61.51378134022441,-0.5296132531477836
F01,-60.54937638170186,0.4526970392430021
F01,-59.48662492031102,1.327652509582144
F01,-58.35359821568562,2.110020212258218
F01,-57.17085529731675,2.815361825409098
F01,-55.941396225206084,3.4355982566543144
F01,-54.66387319884722,3.9491287499653973
F01,-53.34280598036054,4.337258856115806
F01,-51.99517935210841,4.6198970659272085
F01,-50.62824093897824,4.7846495528317305
F01,-49.25314161654785,4.862316048909401
F01,-47.87687365868112,4.918531076168028
F01,-46.50073505653355,4.977768422754352
F01,-45.12371602469743,5.010494811310298
F01,-43.746480507345055,5.013757991334754
F01,-42.37099035598296,4.9433684706796495
F01,-40.994709399587585,4.895170555866134
F01,-39.61964083621542,4.96313360921975
F01,-38.25525321835993,5.150372395956972
F01,-36.89396593464794,5.360477401592161
F01,-35.53178731087154,5.564695005170392
F01,-34.17429799847219,5.797923629318751
F01,-32.8138911356303,6.012243968088289
F01,-31.441669433883323,6.124600358834374
F01,-30.06553545810443,6.092338883514369
F01,-28.710705406525626,5.853385924350473
F01,-27.41646160203437,5.386854283953565
F01,-26.21055435513757,4.723774585766127
F01,-25.094705552576166,3.9168915867209773
F01,-24.01455743023442,3.0622098826284416
F01,-22.915434215763725,2.2324599078400023
F01,-21.764066669974312,1.477083882209422
F01,-20.557226401503424,0.8137211527397084
F01,-19.316161775534724,0.21624266558857205
F01,-18.103839686731423,-0.4366438759584754
F01,-16.950897710170608,-1.1896446637386484
F01,-15.816382443259485,-1.970752048418717
F01,-14.661620231466564,-2.72116134311986
F01,-13.455301254812861,-3.3848352208583243
F01,-12.20182833465319,-3.955424000392693
F01,-10.931764496588876,-4.488420505608012
F01,-9.695076811650146,-5.093824983792029
F01,-8.495391003214223,-5.770575103238377
F02,-63.13116662523717,5.117839246989296
F02,-62.302166654270565,6.185474494602127
